municipality,municipality_scr,highest_relative_ratio_category,highest_relative_ratio,largest_absolute_gap_category,largest_absolute_gap_eur
HEERLEN,1.2430028478736843,Other Zvw care,1.9914552115598492,Medical specialist care,21055746.772537023
BRUNSSUM,1.2191206712655474,Other Zvw care,2.067017527731607,Medical specialist care,7196247.957744837
KERKRADE,1.2101747896556287,Other Zvw care,2.754320176201783,Medical specialist care,9827439.040244251
MEDEMBLIK,0.8660199785204962,Maternity care,1.8726514203607467,Medical specialist care,-9107375.17427729
NIEUWKOOP,0.8562257969518476,Maternity care,1.0341790059515976,Medical specialist care,-5171813.078254551
KOGGENLAND,0.8473089275861376,Maternity care,2.1295751686326967,Medical specialist care,-3436237.7472281754
