gemeentenaam,care_category,actual_cost,expected_cost,insured_years,municipality_actual_cost,municipality_expected_cost,ratio,percentage_difference,euro_gap,actual_cost_per_insured_year,expected_cost_per_insured_year,actual_cost_share_percent
AA EN HUNZE,Dental care,1080035.22,1367463.7699438494,25395.54,82970703.81,90522280.83438018,0.7898090199818224,-21.01909800181776,-287428.54994384944,42.52853926319346,53.84661125315112,1.3017067114113468
AA EN HUNZE,General practice,7760679.93,7358052.262376843,25395.54,82970703.81,90522280.83438018,1.0547193269721487,5.471932697214865,402627.6676231567,305.59223903094795,289.73797219420584,9.353518258410444
AA EN HUNZE,Maternity care,756008.3300000001,719258.6093148378,25395.54,82970703.81,90522280.83438018,1.0510938905829292,5.109389058292924,36749.72068516223,29.76933469420221,28.322241201204534,0.9111750235736611
AA EN HUNZE,Medical devices,3297918.22,3312358.8269433547,25395.54,82970703.81,90522280.83438018,0.9956403856895298,-0.4359614310470161,-14440.606943354476,129.86210255816573,130.43073023622867,3.9747984150551705
AA EN HUNZE,Medical specialist care,43716239.03,48738945.10656357,25395.54,82970703.81,90522280.83438018,0.8969467626847104,-10.30532373152896,-5022706.076563567,1721.4140368741912,1919.19309873165,52.688764856217986
AA EN HUNZE,Mental health (GGZ),4670967.4799999995,6515193.334575112,25395.54,82970703.81,90522280.83438018,0.7169345927482927,-28.306540725170727,-1844225.8545751125,183.928653613981,256.54872212109336,5.629658741591913
AA EN HUNZE,"Nursing, rehabilitation and short-stay care",8257408.78,8203501.328515083,25395.54,82970703.81,90522280.83438018,1.0065712735728507,0.65712735728507,53907.45148491766,325.1519274644288,323.02921412638136,9.9521980660899
AA EN HUNZE,Other Zvw care,1285556.98,1135267.6021507583,25395.54,82970703.81,90522280.83438018,1.1323823366090244,13.238233660902443,150289.37784924172,50.62136816149607,44.70342438675288,1.5494107208538093
AA EN HUNZE,Paramedical care,1297313.69,1754454.2713314109,25395.54,82970703.81,90522280.83438018,0.739440013455296,-26.055998654470404,-457140.5813314109,51.08431204849355,69.08513350499382,1.5635804331258931
AA EN HUNZE,Patient transport,1481748.26,1456333.4894131166,25395.54,82970703.81,90522280.83438018,1.0174512024695148,1.7451202469514815,25414.770586883416,58.346790814450095,57.346033571765616,1.7858692188427754
AA EN HUNZE,Pharmacy,9366827.89,9961452.233252246,25395.54,82970703.81,90522280.83438018,0.9403074642804254,-5.969253571957456,-594624.3432522453,368.8375159575264,392.25203454040536,11.289319554827095
AALSMEER,Dental care,1733852.77,1843585.6188113631,32264.44,87682821.57000001,100803151.06003714,0.9404785719243609,-5.952142807563909,-109732.8488113631,53.73881493061712,57.13986106101216,1.9774144341555087
AALSMEER,General practice,8060578.87,8723864.112515759,32264.44,87682821.57000001,100803151.06003714,0.9239688704499454,-7.603112955005464,-663285.2425157586,249.82856885165216,270.38634833010457,9.192882625891528
AALSMEER,Maternity care,1000174.51,1145380.0159281297,32264.44,87682821.57000001,100803151.06003714,0.8732250398043954,-12.677496019560463,-145205.50592812966,30.99928311168581,35.499764320351744,1.1406732722458397
AALSMEER,Medical devices,3154365.99,3527767.6009844975,32264.44,87682821.57000001,100803151.06003714,0.8941535687100557,-10.584643128994431,-373401.61098449724,97.76602321317216,109.33918583383122,3.5974731806295357
AALSMEER,Medical specialist care,49404480.05,52824136.234805346,32264.44,87682821.57000001,100803151.06003714,0.9352633771500807,-6.473662284991932,-3419656.1848053485,1531.2362480179418,1637.2246422006813,56.34453723704457
AALSMEER,Mental health (GGZ),4820288.41,8769339.360636434,32264.44,87682821.57000001,100803151.06003714,0.5496752049119203,-45.03247950880797,-3949050.9506364334,149.39941340993366,271.7958024573318,5.4974147999466565
AALSMEER,"Nursing, rehabilitation and short-stay care",6127148.35,8227980.472648053,32264.44,87682821.57000001,100803151.06003714,0.7446722036310409,-25.53277963689591,-2100832.122648054,189.9040662103542,255.01699309357465,6.987854907370312
AALSMEER,Other Zvw care,870571.89,1322887.526401261,32264.44,87682821.57000001,100803151.06003714,0.6580845858969391,-34.191541410306094,-452315.6364012611,26.982395789296206,41.00140979980626,0.9928648216515188
AALSMEER,Paramedical care,1542664.07,2082407.1277976267,32264.44,87682821.57000001,100803151.06003714,0.7408081010707719,-25.919189892922812,-539743.0577976266,47.81313638172552,64.5418649075461,1.7593686452806971
AALSMEER,Patient transport,1338685.7,1540391.1938028876,32264.44,87682821.57000001,100803151.06003714,0.8690556693557037,-13.094433064429634,-201705.49380288762,41.4910564076116,47.74269114241213,1.5267365671293827
AALSMEER,Pharmacy,9630010.96,10795411.795705779,32264.44,87682821.57000001,100803151.06003714,0.8920466529892492,-10.795334701075078,-1165400.8357057776,298.4713498824093,334.59163697574724,10.982779508654446
AALTEN,Dental care,1554435.69,1477008.8386643324,26813.65,83131714.99,89476203.2604207,1.052421386594873,5.242138659487305,77426.85133566754,57.97180503213848,55.084214147060635,1.8698467729036803
AALTEN,General practice,7358773.91,7493372.518941333,26813.65,83131714.99,89476203.2604207,0.9820376461198077,-1.7962353880192294,-134598.60894133244,274.44133529004813,279.4611147285555,8.85194526647886
AALTEN,Maternity care,942492.45,875083.0776103961,26813.65,83131714.99,89476203.2604207,1.0770319688659502,7.703196886595021,67409.37238960387,35.14972597911884,32.63573133871726,1.133733918653517
AALTEN,Medical devices,3129084.43,3194645.2684870083,26813.65,83131714.99,89476203.2604207,0.9794778972383191,-2.052210276168087,-65560.83848700812,116.69744439865516,119.14249900655108,3.764008032766317
AALTEN,Medical specialist care,44008328.75,47677576.352912016,26813.65,83131714.99,89476203.2604207,0.9230403916559843,-7.695960834401571,-3669247.602912016,1641.2658757759573,1778.1084019860039,52.938073941207406
AALTEN,Mental health (GGZ),4610392.23,7102507.342794859,26813.65,83131714.99,89476203.2604207,0.6491217829823175,-35.08782170176825,-2492115.1127948584,171.9419858915142,264.88401775941946,5.545888510244964
AALTEN,"Nursing, rehabilitation and short-stay care",7341665.1,7609537.777754029,26813.65,83131714.99,89476203.2604207,0.964797772798088,-3.5202227201912017,-267872.67775402963,273.8032718410212,283.79343273869944,8.831364901930794
AALTEN,Other Zvw care,816556.4199999999,1159002.7496095216,26813.65,83131714.99,89476203.2604207,0.7045336348642012,-29.546636513579884,-342446.32960952166,30.45301255144301,43.224355863879836,0.9822441652962705
AALTEN,Paramedical care,1909167.22,1787140.2515023442,26813.65,83131714.99,89476203.2604207,1.068280577528862,6.828057752886196,122026.96849765582,71.20131798542906,66.6503908085003,2.2965570002130424
AALTEN,Patient transport,1274382.6,1402350.6616753275,26813.65,83131714.99,89476203.2604207,0.9087474586973493,-9.12525413026507,-127968.06167532736,47.527382508535766,52.29987941497436,1.532968013655555
AALTEN,Pharmacy,10186436.19,9697978.420469537,26813.65,83131714.99,89476203.2604207,1.0503669680785712,5.036696807857122,488457.7695304621,379.8974100877724,361.680652222638,12.2533694766496
ACHTKARSPELEN,Dental care,1404752.09,1583695.7187892117,27865.15,86122656.71,88096205.68158288,0.8870088321473648,-11.299116785263518,-178943.62878921162,50.41250773816039,56.834279334193845,1.6311063123960614
ACHTKARSPELEN,General practice,7597821.19,7550302.856650052,27865.15,86122656.71,88096205.68158288,1.0062935665299964,0.6293566529996353,47518.33334994875,272.6639257280151,270.95862956596505,8.822093372692938
ACHTKARSPELEN,Maternity care,1135566.66,977175.3582073156,27865.15,86122656.71,88096205.68158288,1.162090970123584,16.2090970123584,158391.30179268436,40.75221773433841,35.068009976882074,1.3185457850235422
ACHTKARSPELEN,Medical devices,3687183.29,3078363.0557034826,27865.15,86122656.71,88096205.68158288,1.1977740192692725,19.77740192692725,608820.2342965174,132.3223915894944,110.47358638670462,4.281316242270391
ACHTKARSPELEN,Medical specialist care,47153021.14,46756351.62334163,27865.15,86122656.71,88096205.68158288,1.0084837568134881,0.8483756813488119,396669.5166583732,1692.1861586964362,1677.9508318936603,54.75100622914818
ACHTKARSPELEN,Mental health (GGZ),5245785.07,7470767.671387883,27865.15,86122656.71,88096205.68158288,0.7021748367427767,-29.78251632572233,-2224982.6013878826,188.2561217147584,268.1043407764854,6.091062759087986
ACHTKARSPELEN,"Nursing, rehabilitation and short-stay care",7732810.13,6893195.570191781,27865.15,86122656.71,88096205.68158288,1.121803385854735,12.180338585473493,839614.5598082189,277.5082901043059,247.37694109637954,8.978833706951956
ACHTKARSPELEN,Other Zvw care,564255.0,1173764.8063004506,27865.15,86122656.71,88096205.68158288,0.4807223704197233,-51.92776295802767,-609509.8063004506,20.2494872627637,42.12303921925597,0.6551760263272074
ACHTKARSPELEN,Paramedical care,1418837.92,1816799.0104801776,27865.15,86122656.71,88096205.68158288,0.7809548066767181,-21.90451933232819,-397961.09048017766,50.91800761883571,65.19968528718408,1.6474618575430615
ACHTKARSPELEN,Patient transport,1477934.8599999999,1341592.061663517,27865.15,86122656.71,88096205.68158288,1.1016276126197584,10.162761261975838,136342.79833648284,53.0388266347032,48.14587618094706,1.7160813616986248
ACHTKARSPELEN,Pharmacy,8704689.36,9454197.948867388,27865.15,86122656.71,88096205.68158288,0.9207221392104256,-7.927786078957444,-749508.5888673887,312.3862372892304,339.28394244665424,10.107316346860058
ALBLASSERDAM,Dental care,1153060.94,1122016.748016289,19494.28,61786026.87,61583661.32581815,1.0276682073049237,2.7668207304923698,31044.191983710974,59.14868053603416,57.55620356413723,1.866216357342545
ALBLASSERDAM,General practice,5261287.56,5308593.181186356,19494.28,61786026.87,61583661.32581815,0.9910888592190475,-0.8911140780952453,-47305.62118635606,269.8887858387178,272.3154269450503,8.515335629316214
ALBLASSERDAM,Maternity care,883986.6,765938.4581383966,19494.28,61786026.87,61583661.32581815,1.1541222282381771,15.41222282381771,118048.14186160336,45.345947631818156,39.29042047915576,1.430722518960378
ALBLASSERDAM,Medical devices,2287206.13,2145682.2827913025,19494.28,61786026.87,61583661.32581815,1.0659575037477542,6.595750374775422,141523.84720869735,117.32703798242356,110.06727526183592,3.7018177828659597
ALBLASSERDAM,Medical specialist care,32715204.1,32237902.03624404,19494.28,61786026.87,61583661.32581815,1.0148056180336844,1.480561803368441,477302.063755963,1678.1950449054802,1653.710833959707,52.94919540438157
ALBLASSERDAM,Mental health (GGZ),4288462.99,5244580.898315179,19494.28,61786026.87,61583661.32581815,0.8176941252594022,-18.230587474059778,-956117.9083151789,219.9857081154062,269.0317825698194,6.940829840091642
ALBLASSERDAM,"Nursing, rehabilitation and short-stay care",5665436.67,5174699.326409991,19494.28,61786026.87,61583661.32581815,1.0948339821572712,9.483398215727124,490737.343590009,290.6204625151583,265.44706069729125,9.169446486533728
ALBLASSERDAM,Other Zvw care,503743.51,838737.0708029444,19494.28,61786026.87,61583661.32581815,0.6005976455979865,-39.940235440201356,-334993.56080294435,25.840580416409328,43.024778078643806,0.815303290272887
ALBLASSERDAM,Paramedical care,924156.38,1298136.8258643283,19494.28,61786026.87,61583661.32581815,0.7119098400006303,-28.80901599993697,-373980.4458643283,47.40654079042673,66.59065253317016,1.4957368628742838
ALBLASSERDAM,Patient transport,798899.13,943278.918775756,19494.28,61786026.87,61583661.32581815,0.8469383912839473,-15.306160871605268,-144379.78877575602,40.981207307989834,48.38747154425586,1.2930093913967187
ALBLASSERDAM,Pharmacy,7304582.86,6504095.579273571,19494.28,61786026.87,61583661.32581815,1.1230743415390942,12.307434153909425,800487.2807264291,374.70390596626294,333.6412311341364,11.822386435964077
ALBRANDSWAARD,Dental care,1579290.4,1499212.5209806152,26075.78,94164617.13,79805963.34580468,1.0534132939117977,5.341329391179772,80077.87901938474,60.56541357535613,57.494445841336876,1.6771590520244917
ALBRANDSWAARD,General practice,6845028.66,6947823.2750963,26075.78,94164617.13,79805963.34580468,0.985204774067188,-1.4795225932812017,-102794.61509629991,262.5052312912596,266.4473804847372,7.269215198475262
ALBRANDSWAARD,Maternity care,897381.97,908547.2390556801,26075.78,94164617.13,79805963.34580468,0.9877108546746727,-1.2289145325327322,-11165.269055680139,34.41438645363629,34.84257188301482,0.9529927454184935
ALBRANDSWAARD,Medical devices,2652292.69,2758093.108602784,26075.78,94164617.13,79805963.34580468,0.961640011980458,-3.835998801954199,-105800.41860278416,101.7147977932012,105.77221884073207,2.816655311557576
ALBRANDSWAARD,Medical specialist care,43238291.29,42230685.32704805,26075.78,94164617.13,79805963.34580468,1.0238595692953767,2.3859569295376692,1007605.9629519507,1658.1782516189353,1619.5368010869877,45.91776891133843
ALBRANDSWAARD,Mental health (GGZ),21813610.87,7037538.809024247,26075.78,94164617.13,79805963.34580468,3.099607897299035,209.9607897299035,14776072.060975753,836.5468212264409,269.887950006644,23.165400693856142
ALBRANDSWAARD,"Nursing, rehabilitation and short-stay care",5503165.74,5911245.756370558,26075.78,94164617.13,79805963.34580468,0.9309654794963025,-6.903452050369752,-408080.0163705582,211.0451054580151,226.69487763628004,5.844197011285613
ALBRANDSWAARD,Other Zvw care,763842.05,1066698.6780335682,26075.78,94164617.13,79805963.34580468,0.7160804318311553,-28.391956816884466,-302856.62803356815,29.293162083742082,40.907642188788536,0.8111773543829839
ALBRANDSWAARD,Paramedical care,1479903.59,1687320.229263442,26075.78,94164617.13,79805963.34580468,0.8770733405158162,-12.29266594841838,-207416.63926344202,56.75395290188827,64.70833199480292,1.5716132397765743
ALBRANDSWAARD,Patient transport,1278203.95,1191210.2765810883,26075.78,94164617.13,79805963.34580468,1.073029653226795,7.302965322679511,86993.67341891164,49.01881937951617,45.68263256482024,1.357414269773286
ALBRANDSWAARD,Pharmacy,8113605.92,8567588.125748355,26075.78,94164617.13,79805963.34580468,0.9470116678013509,-5.298833219864907,-453982.205748355,311.15486938454,328.5649796764797,8.61640621211115
ALKMAAR,Dental care,5690925.4,5758376.401775288,110578.37,338597009.3,349042053.64474744,0.9882864548843154,-1.1713545115684565,-67451.00177528802,51.465086707282815,52.075070393742365,1.6807370542832494
ALKMAAR,General practice,29409007.22,29927061.173589554,110578.37,338597009.3,349042053.64474744,0.9826894478350339,-1.731055216496613,-518053.9535895549,265.9562373726435,270.6411857363204,8.685548428439708
ALKMAAR,Maternity care,4662871.01,4777061.250616533,110578.37,338597009.3,349042053.64474744,0.9760961321980547,-2.390386780194531,-114190.24061653297,42.16802083445433,43.20068428044773,1.3771152378574774
ALKMAAR,Medical devices,11286031.33,12067382.182771262,110578.37,338597009.3,349042053.64474744,0.9352510063129678,-6.474899368703224,-781350.8527712617,102.06364345938542,109.1296804499041,3.333175137409579
ALKMAAR,Medical specialist care,183390979.8,184189788.24799493,110578.37,338597009.3,349042053.64474744,0.9956631230450225,-0.4336876954977531,-798808.4479949176,1658.4706376120396,1665.6945499196174,54.16201997150954
ALKMAAR,Mental health (GGZ),33632132.93,31378081.4909587,110578.37,338597009.3,349042053.64474744,1.0718352216559441,7.183522165594414,2254051.439041298,304.14748318319397,283.7632847270104,9.932790900761214
ALKMAAR,"Nursing, rehabilitation and short-stay care",23134647.46,26879983.283058975,110578.37,338597009.3,349042053.64474744,0.8606645032618209,-13.933549673817913,-3745335.823058974,209.21494375437078,243.0853636480532,6.832502008162303
ALKMAAR,Other Zvw care,2795923.57,4560972.390226807,110578.37,338597009.3,349042053.64474744,0.6130104133037658,-38.698958669623416,-1765048.8202268076,25.284543170603797,41.24651493982781,0.825737822014484
ALKMAAR,Paramedical care,5602206.57,6995359.912222626,110578.37,338597009.3,349042053.64474744,0.8008460808730596,-19.915391912694037,-1393153.3422226254,50.662770395331385,63.26155750191133,1.654535160124936
ALKMAAR,Patient transport,4555144.9,5262125.807548294,110578.37,338597009.3,349042053.64474744,0.8656472814591092,-13.43527185408908,-706980.9075482935,41.19381484823841,47.587297656388806,1.345299803272657
ALKMAAR,Pharmacy,34437139.11,37245861.50398446,110578.37,338597009.3,349042053.64474744,0.9245896784080564,-7.54103215919436,-2808722.3939844593,311.4274438120222,336.82773135455386,10.170538476164857
ALMELO,Dental care,4607996.53,3869302.3227026463,73041.08,261776596.35999998,230163179.03878132,1.1909114733586876,19.09114733586876,738694.207297354,63.087738160498176,52.974330646571026,1.7602782655417364
ALMELO,General practice,21329747.65,19784900.563883305,73041.08,261776596.35999998,230163179.03878132,1.0780821253626496,7.808212536264958,1544847.086116694,292.0239904722109,270.87360378410756,8.148072801995996
ALMELO,Maternity care,2602813.1,2885572.4964960637,73041.08,261776596.35999998,230163179.03878132,0.9020092557579417,-9.799074424205834,-282759.39649606356,35.634920787042034,39.5061586780489,0.9942879295521757
ALMELO,Medical devices,9635208.63,8012229.444240977,73041.08,261776596.35999998,230163179.03878132,1.2025627444962386,20.256274449623856,1622979.1857590238,131.91492554600782,109.69483808619721,3.680699025037932
ALMELO,Medical specialist care,132253601.79,121005024.94115847,73041.08,261776596.35999998,230163179.03878132,1.0929595845652809,9.295958456528087,11248576.848841533,1810.6742368814919,1656.6708069097344,50.52155296882324
ALMELO,Mental health (GGZ),23632150.65,20576389.301939335,73041.08,261776596.35999998,230163179.03878132,1.1485081421827812,14.850814218278119,3055761.348060664,323.5460188978586,281.709817296504,9.027602535369752
ALMELO,"Nursing, rehabilitation and short-stay care",25202183.81,18309148.16597345,73041.08,261776596.35999998,230163179.03878132,1.3764804119525822,37.648041195258216,6893035.644026548,345.0412262524048,250.66918733914463,9.627363240425623
ALMELO,Other Zvw care,3216229.3,2996919.5033172253,73041.08,261776596.35999998,230163179.03878132,1.073178407508118,7.31784075081181,219309.79668277455,44.03315641006403,41.03060227637961,1.2286160583954504
ALMELO,Paramedical care,6335825.1,4612114.479677838,73041.08,261776596.35999998,230163179.03878132,1.373735436949207,37.3735436949207,1723710.6203221614,86.74331075060773,63.144116703611694,2.420317625066397
ALMELO,Patient transport,3820647.94,3500175.5748051237,73041.08,261776596.35999998,230163179.03878132,1.0915589399290975,9.155893992909746,320472.3651948762,52.308207107561934,47.92064376382611,1.4595070732548507
ALMELO,Pharmacy,29140191.86,24611402.244586904,73041.08,261776596.35999998,230163179.03878132,1.1840118482647273,18.40118482647273,4528789.615413096,398.9562019072007,336.9528797299671,11.131702476536853
ALMERE,Dental care,12756220.73,11975131.608600415,219708.43,621382834.51,608096158.6558663,1.065225932117407,6.52259321174069,781089.1213995852,58.05976916771014,54.50465240956123,2.0528762658947755
ALMERE,General practice,62478153.089999996,55211600.62271585,219708.43,621382834.51,608096158.6558663,1.1316127840042087,13.161278400420873,7266552.467284143,284.3684836762977,251.29486666813764,10.05469569162914
ALMERE,Maternity care,9664543.68,10806963.116993137,219708.43,621382834.51,608096158.6558663,0.8942885781485856,-10.571142185141436,-1142419.436993137,43.988042152046695,49.18774904082259,1.5553283971259215
ALMERE,Medical devices,21566179.8,19596479.413243283,219708.43,621382834.51,608096158.6558663,1.1005129720099416,10.051297200994158,1969700.3867567182,98.15818082173725,89.19311568173913,3.470675178371528
ALMERE,Medical specialist care,333162786.08,320046475.66583526,219708.43,621382834.51,608096158.6558663,1.0409825178886196,4.098251788861962,13116310.414164722,1516.3859942925267,1456.6872817116544,53.61634850159968
ALMERE,Mental health (GGZ),50472695.53,63931306.20971263,219708.43,621382834.51,608096158.6558663,0.7894832519835492,-21.05167480164508,-13458610.67971263,229.72580310186552,290.98249079342395,8.12264078228053
ALMERE,"Nursing, rehabilitation and short-stay care",35709248.05,32927520.78216801,219708.43,621382834.51,608096158.6558663,1.0844803131773724,8.448031317737236,2781727.2678319886,162.53016805044757,149.86917335018967,5.746738736057782
ALMERE,Other Zvw care,9026405.73,8625032.76444249,219708.43,621382834.51,608096158.6558663,1.0465358192275174,4.653581922751737,401372.96555751003,41.083565751209456,39.256722031296164,1.4526319731889434
ALMERE,Paramedical care,11374153.9,13269354.970731137,219708.43,621382834.51,608096158.6558663,0.8571745895025437,-14.282541049745634,-1895201.070731137,51.76931035372653,60.39529284666563,1.8304583371649212
ALMERE,Patient transport,9445249.55,8348900.769457997,219708.43,621382834.51,608096158.6558663,1.1313165422390303,13.131654223903034,1096348.780542004,42.98992783299212,37.9999109249381,1.5200370891236774
ALMERE,Pharmacy,65727198.37,63357392.73196609,219708.43,621382834.51,608096158.6558663,1.0374037746164742,3.740377461647415,2369805.638033904,299.1564700999411,288.37033122473315,10.5775690475631
ALPHEN AAN DEN RIJN,Dental care,5557797.0200000005,6090864.143031929,113165.34,337862706.04,353155291.37890834,0.9124808712665562,-8.75191287334438,-533067.1230319282,49.11218417229163,53.8226999806825,1.6449868306394269
ALPHEN AAN DEN RIJN,General practice,29486861.73,30446857.912989303,113165.34,337862706.04,353155291.37890834,0.9684697782039523,-3.1530221796047697,-959996.182989303,260.5644248495167,269.04755389759185,8.727468644174362
ALPHEN AAN DEN RIJN,Maternity care,4858293.630000001,4643925.913176521,113165.34,337862706.04,353155291.37890834,1.0461608821568924,4.61608821568924,214367.7168234801,42.93093300475217,41.03664525884446,1.4379490672240163
ALPHEN AAN DEN RIJN,Medical devices,11703321.26,12178622.452054735,113165.34,337862706.04,353155291.37890834,0.9609724996463336,-3.9027500353666422,-475301.1920547355,103.41789509049326,107.617954861928,3.463928113632769
ALPHEN AAN DEN RIJN,Medical specialist care,184900766.48000002,186451284.77306926,113165.34,337862706.04,353155291.37890834,0.9916840568035968,-0.8315943196403164,-1550518.2930692434,1633.8992705717142,1647.6006237693384,54.72659845982212
ALPHEN AAN DEN RIJN,Mental health (GGZ),27117346.78,31645956.396294285,113165.34,337862706.04,353155291.37890834,0.8568976851391801,-14.310231486081992,-4528609.616294283,239.62590294872973,279.6435410019913,8.026143843407665
ALPHEN AAN DEN RIJN,"Nursing, rehabilitation and short-stay care",23533029.75,26850331.064000316,113165.34,337862706.04,353155291.37890834,0.8764521261919187,-12.35478738080813,-3317301.314000316,207.9526271029628,237.26638442477454,6.9652640937570345
ALPHEN AAN DEN RIJN,Other Zvw care,2957293.78,4687687.1846863385,113165.34,337862706.04,353155291.37890834,0.6308641476037138,-36.913585239628624,-1730393.4046863387,26.13250470506252,41.42334733131486,0.8752945285561887
ALPHEN AAN DEN RIJN,Paramedical care,5587446.37,7196573.269166377,113165.34,337862706.04,353155291.37890834,0.7764037356417033,-22.35962643582967,-1609126.8991663773,49.37418444552016,63.59344008657048,1.6537623922714022
ALPHEN AAN DEN RIJN,Patient transport,4817574.35,5312351.716349224,113165.34,337862706.04,353155291.37890834,0.9068628372578375,-9.313716274216254,-494777.366349224,42.571111879308624,46.94327535576903,1.425897047491723
ALPHEN AAN DEN RIJN,Pharmacy,37342974.89,37650836.55409006,113165.34,337862706.04,353155291.37890834,0.9918232450519983,-0.8176754948001741,-307861.6640900597,329.98597353217866,332.706432500358,11.052706979023283
ALPHEN-CHAAM,Dental care,546519.18,555352.6592773416,10334.16,30187061.68,35001113.5119784,0.9840939281917976,-1.590607180820236,-8833.47927734151,52.884722125455774,53.739506575990845,1.8104417905704564
ALPHEN-CHAAM,General practice,2616150.87,2906799.4745833594,10334.16,30187061.68,35001113.5119784,0.9000107826065233,-9.998921739347665,-290648.6045833593,253.15563819410576,281.28067250587947,8.666464122055618
ALPHEN-CHAAM,Maternity care,651716.46,341972.4502679755,10334.16,30187061.68,35001113.5119784,1.9057572020474272,90.57572020474271,309744.00973202445,63.06428969553403,33.09146077358736,2.158926453023367
ALPHEN-CHAAM,Medical devices,1106271.73,1253205.968723022,10334.16,30187061.68,35001113.5119784,0.8827533203717954,-11.724667962820456,-146934.23872302193,107.04999051688768,121.2682955095549,3.664721468181
ALPHEN-CHAAM,Medical specialist care,17091274.7,18729723.11106137,10334.16,30187061.68,35001113.5119784,0.9125214824935807,-8.747851750641933,-1638448.4110613689,1653.8620168451039,1812.4088567490119,56.61788113456427
ALPHEN-CHAAM,Mental health (GGZ),1858192.02,2738033.414533235,10334.16,30187061.68,35001113.5119784,0.6786593655639424,-32.13406344360577,-879841.3945332351,179.81064934160105,264.9497796176211,6.155590894197954
ALPHEN-CHAAM,"Nursing, rehabilitation and short-stay care",1750571.42,2971319.5299032284,10334.16,30187061.68,35001113.5119784,0.5891562325701852,-41.084376742981476,-1220748.1099032285,169.39658569249943,287.524049357009,5.799078554107225
ALPHEN-CHAAM,Other Zvw care,512744.69,452672.81719547365,10334.16,30187061.68,35001113.5119784,1.1327048378488918,13.270483784889176,60071.872804526356,49.616484552203566,43.80354254196506,1.6985577974941217
ALPHEN-CHAAM,Paramedical care,685165.38,691985.0253198548,10334.16,30187061.68,35001113.5119784,0.9901448079505729,-0.9855192049427086,-6819.645319854841,66.301023014933,66.96093589801734,2.2697319376862253
ALPHEN-CHAAM,Patient transport,436565.11,551502.4984065221,10334.16,30187061.68,35001113.5119784,0.7915922616151055,-20.840773838489447,-114937.3884065221,42.24485686306386,53.36694016799838,1.4461994169152272
ALPHEN-CHAAM,Pharmacy,2931890.12,3808546.562707024,10334.16,30187061.68,35001113.5119784,0.7698186359880244,-23.018136401197566,-876656.442707024,283.7086052470641,368.5395390343312,9.712406431204537
ALTENA,Dental care,2880721.93,3188856.665489383,56904.56,169129176.72,178632820.4474849,0.9033714061769865,-9.662859382301347,-308134.7354893829,50.62374491604891,56.0386841667765,1.7032672811794907
ALTENA,General practice,14959407.07,15369140.130504379,56904.56,169129176.72,178632820.4474849,0.9733405345370527,-2.6659465462947285,-409733.06050437875,262.8859105491722,270.0862660304267,8.844959432851663
ALTENA,Maternity care,2602245.89,2144583.666904272,56904.56,169129176.72,178632820.4474849,1.2134037623052347,21.34037623052347,457662.2230957281,45.73000634747022,37.6873780748726,1.5386144132352282
ALTENA,Medical devices,6627896.57,6202213.1647442775,56904.56,169129176.72,178632820.4474849,1.0686341139765185,6.863411397651853,425683.4052557228,116.47390947228132,108.99325405106863,3.9188368905577677
ALTENA,Medical specialist care,91353797.77,94507719.85211544,56904.56,169129176.72,178632820.4474849,0.9666278893718877,-3.3372110628112295,-3153922.0821154416,1605.3862426842418,1660.8110114921449,54.014215371744996
