measure,value
Mean municipality SCR,0.9754518173723572
Median municipality SCR,0.970667064430548
Standard deviation,0.06968505161329876
Minimum SCR,0.813408634117915
Maximum SCR,1.2430028478736843
Municipalities within ±5% of expected,0.5116959064327485
Municipalities within ±10% of expected,0.8450292397660819
